telefone;objetivo_profissional;email;codigo_profissional;nome;data_nascimento;sexo;pcd;endereco;titulo_profissional;area_atuacao;conhecimentos_tecnicos;certificacoes;outras_certificacoes;nivel_profissional;qualificacoes;experiencias;nivel_academico;nivel_ingles;nivel_espanhol;outro_idioma;cursos;atuacao
(13) 98663-4783;gerente de projetos;gustavo_henrique_lopes@hotmail.com;46254;Gustavo Henrique Lopes;30-12-1993;Feminino;nao;sao paulo;gerente de projetos;projetos;;;;;;;pos graduacao completo;basico;intermediario;-;gestao de projetos;projetos
(17) 97731-6968;gerente de projetos;pietro_moraes@gmail.com;46255;Pietro Moraes;0000-00-00;;;sao paulo;gerente de projetos;;;;;;;;;;;-;;
(11) 98188-7475;gerente de projetos;isabel_da_mota@hotmail.com;46256;Isabel da Mota;12-09-1989;Masculino;nao;sao paulo;gerente de projetos;administrativa financeira controladoria qualidade corporativa recursos humanos relacionamento tecnico infraestrutura processos negocios projetos sistemas ferramentas suporte;;;;;;;pos graduacao completo;avancado;nenhum;Português - Fluente;gestao de negocios;administrativa financeira controladoria qualidade corporativa recursos humanos relacionamento tecnico infraestrutura processos negocios projetos sistemas ferramentas suporte
(85) 99870-9752;gerente de projetos;gustavo_cavalcanti@gmail.com;46257;Gustavo Cavalcanti;0000-00-00;;;rio de janeiro;gerente de projetos;;;;;;;;;;;-;;
(01) 94543-5029;sap mm;mirella_fonseca@hotmail.com;46258;Mirella Fonseca;0000-00-00;;;sao paulo;sap mm;;;;;;;;;;;-;;
(19) 92066-3004;supervisor de logistica;ravi_da_mata@hotmail.com;46259;Ravi da Mata;08-06-1977;Masculino;nao;sao paulo;supervisor de logistica;administrativa;;;formação em tecnologia em logística e pós graduado em gestão estratégica de negócios;;;;pos graduacao completo;intermediario;nenhum;-;logistica;administrativa
(11) 93428-5935;analista de seguranca da informacao;letícia_jesus@gmail.com;46260;Letícia Jesus;30-08-1985;Masculino;nao;minas gerais;analista de seguranca da informacao;governanca;;;AWS Certified Cloud Practitioner - Amazon Web Service Arquitetura de Software .NET - Eduardo Pires Pirelli Data Analyst Track IBM Data Science - Cognitive Class;;;;pos graduacao cursando;intermediario;basico;Italiano - Avançado;ciencia da computacao;governanca
(11) 93771-6945;gerente de projetos;dr._henrique_da_conceição@hotmail.com;46261;Dr. Henrique da Conceição;0000-00-00;;;sao paulo;gerente de projetos;;;;;;;;;;;-;;
(19) 94190-2858;analistaassistente logistica;luigi_da_mota@gmail.com;46262;Luigi da Mota;27-12-1985;Masculino;nao;sao paulo;analistaassistente logistica;administrativa;;;;;;;ensino superior completo;intermediario;basico;-;suprimentoslogistica;administrativa
(11) 99493-1591;consultor analista e suporte;amanda_fogaça@hotmail.com;46263;Amanda Fogaça;20-09-1981;Masculino;nao;sao paulo;consultor analista e suporte;governanca infraestrutura processos negocios projetos sap sistemas ferramentas suporte telecom;;;"Cursos (certificação) oferecidos pela empresa KPMG, como: ""Ergonomia, Time Entry, KPMG Anti-Bribery and Corruption Thesaurus, Como Trabalhar em Casa com Segurança, Comportamento Ético, Ferramenta de Gestão de Horas Extras - Sênior X Módulos I e II, Integridade, Política de prevenção à ""lavagem de dinheiro"", Protegendo as Informações, Segurança do trabalho, Novo Sistema de Ponto Eletrônico e Treinamento Anual de Independência"" (novembro/2023) - Concluído Bootcamp de Cloud com duração de 10 horas pela Cloud Treinamento (Leandro Porciuncula) (setembro/2023) - Concluído ISO/IEC 27001 - Projeto de SGSI Com Wellington Monaco (setembro/2023) - Concluído. Power BI - Certificado do curso do Simplifica Power BI Express aconteceu ao vivo pelo Prof. Ítalo Teotônio (SIMPLIFICA TREINAMENTOS) em uma plataforma especialmente preparada com carga horária de 10h divida em 4 módulos como: Dashboard de Estoque, Dashboard de Recursos Humanos, Dashboard de Resultados Financeiros e Dashboard de Pesquisa de Satisfação (março/2023) – Concluído. Com carga horária de 01:00 horas o curso Introdução a Lei Geral de Proteção de dados (LGPD) pela academia Stefanini (dezembro/2022) - Concluído. Com carga horária de 01:30 horas o curso Código de Ética e Conduta pela academia Stefanini (novembro/2022) – Concluído. Treinamento de Código de Conduta Ética pela Copaenergia (julho/2022) – Concluído. Com carga horária de 01:00 horas o curso Compliance pela academia Stefanini (junho/2021) – Concluído. Workshop ERP, Treinamento oferecido pela empresa New Age (maio/2013) - Concluído. Workshop SAP, Treinamento oferecido pela empresa Stefanini (dezembro/2010) - Concluído. Workshop SAP, Treinamento e palestra oferecidos pela empresa TIVIT (dezembro/2007) - Concluído. Sistema de Lojas(Quadrant e ELBRUS), Oferecido pela empresa VF do Brasil LTDA (dezembro/2005) - Concluído. Administração e Suporte Avançado a Servidores, Oferecido pela Microsoft que fazia parceira com a empresa VF do Brasil LTDA (dezembro/2005) - Concluído. Certificado em Manutenção e Suporte de Computadores, Administração de Redes e WEB, Suporte ao Usuário, Operação de Microcomputadores, Oferecido pela Faculdade e Colégio Sabas (dezembro/2002) - Concluído. Sistema de Cargas e Sistema Financeiro, Oferecido pela própria empresa Embralog (dezembro/2001) - Concluído. Web Designer Total (Flash / Dreamweaver, Arte Digital para WEB, HTML e Lógica de Programação), Escola de Informática Domínio Tecnologia (dezembro/1999) - Concluído. Windows, Pacote Office e Hardware, Data Sênior Informática (dezembro/1998) - Concluído. Windows 3.11, Escola de Computação Facilit (dezembro/1996) - Concluído.";;;;ensino superior completo;basico;avancado;-;sistemas de informacao;governanca infraestrutura processos negocios projetos sap sistemas ferramentas suporte telecom
(11) 94942-7236;financeiro;yuri_vargas@hotmail.com;46264;Yuri Vargas;0000-00-00;;;sao paulo;financeiro;;;;;;;;;;;-;;
(11) 99410-3719;lider de equipe;fernanda_vieira@hotmail.com;46265;Fernanda Vieira;0000-00-00;;;sao paulo;lider de equipe;;;;;;;;;;;-;;
(19) 92758-1181;lider de equipe;antonella_carvalho@hotmail.com;46266;Antonella Carvalho;0000-00-00;;;sao paulo;lider de equipe;;;;;;;;;;;-;;
(11) 95953-5190;lider de equipe;maria_flor_silveira@gmail.com;46267;Maria Flor Silveira;0000-00-00;;;sao paulo;lider de equipe;;;;;;;;;;;-;;
(19) 94330-8226;lider de equipe;natália_silva@hotmail.com;46268;Natália Silva;0000-00-00;;;sao paulo;lider de equipe;;;;;;;;;;;-;;
(12) 99532-4010;sap mm;ravi_montenegro@gmail.com;46269;Ravi Montenegro;29-11-1978;Masculino;nao;sao paulo;sap mm;sap;;;;;;;ensino superior completo;avancado;intermediario;-;direito;sap
(21) 95124-1736;websphere senior;srta._heloisa_da_costa@hotmail.com;46270;Srta. Heloisa da Costa;0000-00-00;;;rio de janeiro;websphere senior;;;;;;;;;;;-;;
(32) 96632-3419;;dra._bella_pacheco@hotmail.com;46271;Dra. Bella Pacheco;27-12-1992;Masculino;nao;minas gerais;;suporte;;;;;;;ensino superior cursando;basico;basico;-;analise e desenvolvimento de sistemas;suporte
(19) 96527-6116;analista de logistica;maria_júlia_andrade@hotmail.com;46272;Maria Júlia Andrade;13-05-1993;Feminino;nao;sao paulo;analista de logistica;administrativa;;;;;;;ensino medio completo;fluente;basico;-;;administrativa
(47) 97157-1919;sap abap;apollo_castro@hotmail.com;46273;Apollo Castro;0000-00-00;;;santa catarina;sap abap;;;;;;;;;;;-;;
(11) 97184-5583;product owner com ingles;dr._vitor_gabriel_da_conceição@hotmail.com;46274;Dr. Vitor Gabriel da Conceição;0000-00-00;;;sao paulo;product owner com ingles;;;;;;;;;;;-;;
;assistente administrativo;sr._enzo_gabriel_da_luz@gmail.com;46275;Sr. Enzo Gabriel da Luz;0000-00-00;;;rio de janeiro;assistente administrativo;;;;;;;;;;;-;;
(11) 98840-7831;logistica;olívia_da_costa@gmail.com;46276;Olívia da Costa;0000-00-00;;;sao paulo;logistica;;;;;;;;;;;-;;
(19) 92202-8487;logistica;raquel_leão@hotmail.com;46277;Raquel Leão;0000-00-00;;;sao paulo;logistica;;;;;;;;;;;-;;
(11) 97377-2112;logistica;dr._calebe_machado@hotmail.com;46278;Dr. Calebe Machado;0000-00-00;;;sao paulo;logistica;;;;;;;;;;;-;;
(11) 94601-5851;logistica;milena_macedo@gmail.com;46279;Milena Macedo;0000-00-00;;;sao paulo;logistica;;;;;;;;;;;-;;
(19) 93469-3013;consultor sap ariba;joão_pedro_da_luz@gmail.com;46280;João Pedro da Luz;0000-00-00;;;sao paulo;consultor sap ariba;;;;;;;;;;;-;;
(27) 93176-6199;gerente de projetos;maria_alice_rocha@hotmail.com;46281;Maria Alice Rocha;09-02-1986;Masculino;nao;;gerente de projetos;projetos;;;;;;;pos graduacao completo;intermediario;intermediario;-;gestao de projetos;projetos
(13) 95369-5189;analista funcionalnegociostester;lucas_gabriel_caldeira@gmail.com;46282;Lucas Gabriel Caldeira;12-11-1980;Masculino;nao;sao paulo;analista funcionalnegociostester;processos negocios;;;;;;;ensino superior completo;fluente;fluente;Italiano - Intermediário;ciencia da computacao;processos negocios
(41) 91903-9844;gerente de operacoes;carlos_eduardo_abreu@hotmail.com;46283;Carlos Eduardo Abreu;0000-00-00;;;sao paulo;gerente de operacoes;;;;;;;;;;;-;;
(15) 95366-8197;lider;isaac_sales@gmail.com;46284;Isaac Sales;0000-00-00;;;sao paulo;lider;;;;;;;;;;;-;;
;lider tecnico;thiago_siqueira@gmail.com;46285;Thiago Siqueira;0000-00-00;;;sao paulo;lider tecnico;;;;;;;;;;;-;;
(11) 97137-4498;consultor psim;daniela_silveira@hotmail.com;46286;Daniela Silveira;07-08-1972;Masculino;nao;sao paulo;consultor psim;sap;;;SAP Design Thinking Sap Project Manager;;;;ensino superior completo;intermediario;avancado;-;analise de sistemas;sap
(61) 97089-2924;analista de infraestrutura de banco;srta._heloisa_teixeira@gmail.com;46287;Srta. Heloisa Teixeira;09-06-1990;Masculino;;distrito federal;analista de infraestrutura de banco;banco dados;;;;;;;ensino superior completo;intermediario;basico;-;sistemas de informacao;banco dados
(11) 92352-3375;;sr._samuel_siqueira@hotmail.com;46288;Sr. Samuel Siqueira;29-06-2000;Masculino;;sao paulo;;arquitetura;;;;;;;ensino superior completo;intermediario;intermediario;-;analise e desenvolvimento de sistemas;arquitetura
(19) 93110-4415;logistica;joaquim_gonçalves@hotmail.com;46289;Joaquim Gonçalves;0000-00-00;;;sao paulo;logistica;;;;;;;;;;;-;;
(19) 99948-6037;logistica;dr._breno_cassiano@gmail.com;46290;Dr. Breno Cassiano;0000-00-00;;;sao paulo;logistica;;;;;;;;;;;-;;
(11) 94371-3170;logistica;dr._anthony_gabriel_marques@gmail.com;46291;Dr. Anthony Gabriel Marques;0000-00-00;;;sao paulo;logistica;;;;;;;;;;;-;;
(55) 95784-9875;gerente de operacoes;luiz_fernando_vargas@hotmail.com;46292;Luiz Fernando Vargas;0000-00-00;;;rio grande do sul;gerente de operacoes;;;;;;;;;;;-;;
(11) 92416-5287;consultor sap basis;sara_ferreira@hotmail.com;46293;Sara Ferreira;04-02-1980;Masculino;nao;sao paulo;consultor sap basis;novos negocios parcerias qualidade corporativa arquitetura banco dados desenvolvimento programacao governanca infraestrutura processos negocios projetos qualidade testes sap seguranca informacao sistemas ferramentas suporte;;;;;;;ensino tecnico completo;intermediario;basico;-;;novos negocios parcerias qualidade corporativa arquitetura banco dados desenvolvimento programacao governanca infraestrutura processos negocios projetos qualidade testes sap seguranca informacao sistemas ferramentas suporte
(16) 99542-3502;gerente de projeto;sra._luara_cardoso@hotmail.com;46294;Sra. Luara Cardoso;05-10-1982;Masculino;nao;sao paulo;gerente de projeto;projetos;;;Customer Experience Fundamentals Metrics & OKRs Agile Requirements and Design Thinking Marketing Management SAFe Agilist Certification Certification PSM 1 KMP;;;;pos graduacao completo;fluente;avancado;Alemão - Básico;gestao de projetos;projetos
(92) 92461-2547;consultor de ti;davi_lucca_moreira@gmail.com;46295;Davi Lucca Moreira;29-04-1992;Masculino;nao;amazonas;consultor de ti;suporte;;;;;;;ensino superior completo;nenhum;basico;-;ciencia da computacao;suporte
(11) 94690-2931;diretor comercial;ana_clara_castro@hotmail.com;46296;Ana Clara Castro;19-04-1961;Masculino;nao;sao paulo;diretor comercial;comercial;;;;;;;mestrado incompleto;avancado;intermediario;Português -;marketing;comercial
(19) 95000-4859;lider de equipe;josé_miguel_cavalcante@hotmail.com;46297;José Miguel Cavalcante;0000-00-00;;;sao paulo;lider de equipe;;;;;;;;;;;-;;
(13) 98291-5399;analista de sustentabilidade;pedro_miguel_pastor@gmail.com;46298;Pedro Miguel Pastor;18-06-1995;Feminino;nao;sao paulo;analista de sustentabilidade;administrativa;;;;;;;pos graduacao cursando;basico;basico;-;;administrativa
(11) 98669-1564;consultor gestao de mudanca organiz;augusto_porto@gmail.com;46299;Augusto Porto;13-03-1984;Feminino;nao;sao paulo;consultor gestao de mudanca organiz;governanca;;;;;;;pos graduacao completo;avancado;avancado;-;relacoes publicas;governanca
(41) 95999-2554;consultor ariba jr;isaac_cardoso@hotmail.com;46300;Isaac Cardoso;08-03-1999;Masculino;nao;parana;consultor ariba jr;administrativa financeira controladoria projetos sap;;;;;;;ensino superior completo;intermediario;intermediario;-;administracao de empresas;administrativa financeira controladoria projetos sap
(11) 99005-6475;desenvvolvedor;heloisa_peixoto@gmail.com;46301;Heloisa Peixoto;0000-00-00;;;sao paulo;desenvvolvedor;;;;;;;;;;;-;;
(87) 97674-3692;desenvolvedor;sr._miguel_ramos@hotmail.com;46302;Sr. Miguel Ramos;0000-00-00;;;pernambuco;desenvolvedor;;;;;;;;;;;-;;
(47) 94680-3236;analista de cadastro e fiscal ii;benjamim_lima@hotmail.com;46303;Benjamim Lima;0000-00-00;;;santa catarina;analista de cadastro e fiscal ii;;;;;;;;;;;-;;
(11) 92224-1234;gerente de ecommerce e marketplace;maria_luiza_santos@gmail.com;46304;Maria Luiza Santos;28-12-1982;Masculino;nao;sao paulo;gerente de ecommerce e marketplace;novos negocios parcerias;;;;;;;ensino superior completo;basico;basico;Português -;administracao;novos negocios parcerias
(11) 92980-6620;assistente fiscal contabil e admin;gustavo_henrique_vasconcelos@hotmail.com;46305;Gustavo Henrique Vasconcelos;16-12-1984;Masculino;nao;sao paulo;assistente fiscal contabil e admin;administrativa;;;Técnico Logístico e Bacharel Ciências Contábeis;;;;ensino superior completo;basico;basico;-;ciencias contabeis;administrativa
(11) 91552-4392;desenvolvedor;nina_martins@hotmail.com;46306;Nina Martins;0000-00-00;;;sao paulo;desenvolvedor;;;;;;;;;;;-;;
(61) 94207-4968;desenvolvedor;maria_isis_da_cruz@gmail.com;46307;Maria Isis da Cruz;0000-00-00;;;distrito federal;desenvolvedor;;;;;;;;;;;-;;
(16) 92992-1577;desenvolvedor;rhavi_caldeira@hotmail.com;46308;Rhavi Caldeira;0000-00-00;;;sao paulo;desenvolvedor;;;;;;;;;;;-;;
;consultora sap sd;benjamim_cardoso@hotmail.com;46309;Benjamim Cardoso;0000-00-00;;;sao paulo;consultora sap sd;;;;;;;;;;;-;;
;analista funcional;léo_teixeira@hotmail.com;46310;Léo Teixeira;0000-00-00;;;sao paulo;analista funcional;;;;;;;;;;;-;;
(11) 92343-6233;analista de qualidade de software;vitor_hugo_silva@hotmail.com;46311;Vitor Hugo Silva;13-10-1967;Masculino;nao;sao paulo;analista de qualidade de software;qualidade testes;;;;;;;pos graduacao completo;avancado;nenhum;Alemão - Básico;administracao;qualidade testes
(11) 91290-8885;profissional de logistica planejamento operacao e distribuicao;maya_da_mota@gmail.com;46312;Maya da Mota;0000-00-00;;;sao paulo;profissional de logistica planejamento operacao e distribuicao;;;;;;;;;;;-;;
(11) 98398-4599;supervisor de transportes coordenador logistico;srta._olívia_sousa@gmail.com;46313;Srta. Olívia Sousa;0000-00-00;;;sao paulo;supervisor de transportes coordenador logistico;;;;;;;;;;;-;;
(61) 98972-6353;desenvolvedor;dra._marina_vasconcelos@hotmail.com;46314;Dra. Marina Vasconcelos;0000-00-00;;;distrito federal;desenvolvedor;;;;;;;;;;;-;;
(11) 95300-8066;sap fi;joão_santos@hotmail.com;46315;João Santos;0000-00-00;;;sao paulo;sap fi;;;;;;;;;;;-;;
(11) 92458-6340;secretaria;srta._maria_clara_rocha@gmail.com;46316;Srta. Maria Clara Rocha;0000-00-00;;;sao paulo;secretaria;;;;;;;;;;;-;;
(11) 97831-4815;secretaria;luigi_da_paz@gmail.com;46317;Luigi da Paz;0000-00-00;;;sao paulo;secretaria;;;;;;;;;;;-;;
(17) 99825-4793;sap fi;joão_felipe_fonseca@gmail.com;46318;João Felipe Fonseca;0000-00-00;;;sao paulo;sap fi;;;;;;;;;;;-;;
(11) 93765-7447;assistente contabil;marina_caldeira@hotmail.com;46319;Marina Caldeira;20-01-1998;Feminino;nao;sao paulo;assistente contabil;financeira controladoria;;;;;;;ensino superior completo;intermediario;nenhum;-;ciencias contabeis;financeira controladoria
(11) 95463-4296;analista funcional;dr._alexandre_silva@gmail.com;46320;Dr. Alexandre Silva;0000-00-00;;;sao paulo;analista funcional;;;;;;;;;;;-;;
(11) 99318-9063;fiscal;ísis_aparecida@gmail.com;46321;Ísis Aparecida;0000-00-00;;;sao paulo;fiscal;;;;;;;;;;;-;;
(11) 97419-2267;fiscal;dra._emanuella_fogaça@gmail.com;46322;Dra. Emanuella Fogaça;0000-00-00;;;sao paulo;fiscal;;;;;;;;;;;-;;
(11) 91734-4031;fiscal;luan_teixeira@hotmail.com;46323;Luan Teixeira;0000-00-00;;;sao paulo;fiscal;;;;;;;;;;;-;;
(11) 91572-8513;gmo;sr._miguel_borges@hotmail.com;46324;Sr. Miguel Borges;0000-00-00;;;sao paulo;gmo;;;;;;;;;;;-;;
(11) 96701-4049;gmo;enzo_gabriel_rios@hotmail.com;46325;Enzo Gabriel Rios;0000-00-00;;;sao paulo;gmo;;;;;;;;;;;-;;
(31) 98403-6438;sap abap;aylla_nunes@hotmail.com;46326;Aylla Nunes;0000-00-00;;;minas gerais;sap abap;;;;;;;;;;;-;;
(98) 99166-8615;programador java web com ingles;dr._enrico_fonseca@hotmail.com;46327;Dr. Enrico Fonseca;0000-00-00;;;sao paulo;programador java web com ingles;;;;;;;;;;;-;;
(11) 99022-5189;web developer;ana_carolina_nunes@gmail.com;46328;Ana Carolina Nunes;0000-00-00;;;sao paulo;web developer;;;;;;;;;;;-;;
(11) 93221-3869;sap abap;mariana_fonseca@gmail.com;46329;Mariana Fonseca;0000-00-00;;;sao paulo;sap abap;;;;;;;;;;;-;;
(11) 96424-2850;sap abap;henry_gabriel_cavalcanti@gmail.com;46330;Henry Gabriel Cavalcanti;0000-00-00;;;sao paulo;sap abap;;;;;;;;;;;-;;
(11) 94181-1751;consultor sap sd;valentim_marques@gmail.com;46331;Valentim Marques;0000-00-00;;;sao paulo;consultor sap sd;;;;;;;;;;;-;;
(11) 93032-9609;web;sr._murilo_garcia@gmail.com;46332;Sr. Murilo Garcia;0000-00-00;;;sao paulo;web;;;;;;;;;;;-;;
(11) 92905-6393;analista contabil;srta._emilly_cavalcante@hotmail.com;46333;Srta. Emilly Cavalcante;27-01-1962;Feminino;nao;sao paulo;analista contabil;financeira controladoria;;;;;;;pos graduacao completo;avancado;nenhum;Português - Fluente;ciencias contabeis;financeira controladoria
(11) 97959-6124;analista funcional;joana_da_conceição@hotmail.com;46334;Joana da Conceição;0000-00-00;;;sao paulo;analista funcional;;;;;;;;;;;-;;
(12) 99446-8378;tecnico suporte;ana_júlia_freitas@gmail.com;46335;Ana Júlia Freitas;26-05-1991;Masculino;nao;sao paulo;tecnico suporte;suporte;;;;;;;ensino superior completo;basico;nenhum;-;engenharia da computacao;suporte
(11) 94767-2021;bi;sra._bruna_pimenta@gmail.com;46336;Sra. Bruna Pimenta;0000-00-00;;;sao paulo;bi;;;;;;;;;;;-;;
(71) 99188-6316;analista de sistemas;dra._fernanda_aragão@hotmail.com;46337;Dra. Fernanda Aragão;18-04-1974;Masculino;nao;bahia;analista de sistemas;banco dados desenvolvimento design desenvolvimento mobile seguranca informacao sistemas ferramentas suporte;;;;;;;ensino superior completo;basico;basico;-;sistemas de informacao;banco dados desenvolvimento design desenvolvimento mobile seguranca informacao sistemas ferramentas suporte
(11) 98673-5736;consultor sap sd mm cs;dr._pedro_miguel_gonçalves@gmail.com;46338;Dr. Pedro Miguel Gonçalves;0000-00-00;;;sao paulo;consultor sap sd mm cs;;;;;;;;;;;-;;
(11) 98603-9516;secretaria;srta._milena_brito@gmail.com;46339;Srta. Milena Brito;0000-00-00;;;sao paulo;secretaria;;;;;;;;;;;-;;
(11) 91267-2428;secretaria;joão_albuquerque@hotmail.com;46340;João Albuquerque;0000-00-00;;;sao paulo;secretaria;;;;;;;;;;;-;;
(11) 98658-7539;secretaria;josué_novais@gmail.com;46341;Josué Novais;0000-00-00;;;sao paulo;secretaria;;;;;;;;;;;-;;
(11) 97118-4527;secretaria;hellena_ramos@hotmail.com;46342;Hellena Ramos;0000-00-00;;;sao paulo;secretaria;;;;;;;;;;;-;;
(41) 98206-7467;mulesift;sofia_novais@hotmail.com;46343;Sofia Novais;0000-00-00;;;parana;mulesift;;;;;;;;;;;-;;
(11) 95145-8572;mulesoft;theo_pereira@gmail.com;46344;Theo Pereira;0000-00-00;;;parana;mulesoft;;;;;;;;;;;-;;
(11) 92694-2083;contabil;luara_da_luz@gmail.com;46345;Luara da Luz;0000-00-00;;;sao paulo;contabil;;;;;;;;;;;-;;
(11) 95105-1625;contabil;dr._marcelo_moreira@hotmail.com;46346;Dr. Marcelo Moreira;0000-00-00;;;sao paulo;contabil;;;;;;;;;;;-;;
(11) 92686-8698;fiscal;sra._laura_da_mata@hotmail.com;46347;Sra. Laura da Mata;0000-00-00;;;sao paulo;fiscal;;;;;;;;;;;-;;
(11) 98586-5310;fiscal;dr._anthony_gabriel_da_luz@gmail.com;46348;Dr. Anthony Gabriel da Luz;0000-00-00;;;sao paulo;fiscal;;;;;;;;;;;-;;
(11) 93730-3163;fiscal;joão_miguel_sá@hotmail.com;46349;João Miguel Sá;0000-00-00;;;sao paulo;fiscal;;;;;;;;;;;-;;
(11) 91560-2089;vendedora;natália_souza@gmail.com;46350;Natália Souza;17-10-2003;Feminino;nao;sao paulo;vendedora;comercial;;;;;;;ensino medio completo;nenhum;nenhum;Português - Fluente;;comercial
(97) 96180-8751;etl;leandro_aragão@hotmail.com;46351;Leandro Aragão;21-01-1969;Feminino;nao;rio de janeiro;etl;arquitetura banco dados;;;;;;;ensino superior cursando;fluente;fluente;Italiano - Básico;ciencia da computacao;arquitetura banco dados
(13) 96407-5615;consultor lotus notes senior;bianca_fernandes@gmail.com;46352;Bianca Fernandes;17-01-1979;Masculino;nao;sao paulo;consultor lotus notes senior;desenvolvimento design;;;Certified IBM Lotus Notes Domino Developer Certified Lotus Notes Domino Specialist Principal Certified Lotus Professional Certified Lotus Script for Advanced Developer;;;;ensino superior completo;intermediario;basico;Português - Fluente;tecnologia da informacao;desenvolvimento design
(11) 98026-9791;bi;melina_aragão@hotmail.com;46353;Melina Aragão;0000-00-00;;;sao paulo;bi;;;;;;;;;;;-;;
(21) 94631-4563;consultor sap mm senior;arthur_gabriel_da_cunha@hotmail.com;46354;Arthur Gabriel da Cunha;0000-00-00;;;rio de janeiro;consultor sap mm senior;;;;;;;;;;;-;;
(11) 91173-1950;financeiro;dra._emanuella_garcia@hotmail.com;46355;Dra. Emanuella Garcia;0000-00-00;;;sao paulo;financeiro;;;;;;;;;;;-;;
(11) 99898-1450;financeiro;helena_da_rocha@gmail.com;46356;Helena da Rocha;0000-00-00;;;sao paulo;financeiro;;;;;;;;;;;-;;
(11) 97524-5565;financeiro;ísis_fernandes@gmail.com;46357;Ísis Fernandes;0000-00-00;;;sao paulo;financeiro;;;;;;;;;;;-;;
(11) 96157-2821;fiscal;maysa_martins@gmail.com;46358;Maysa Martins;0000-00-00;;;sao paulo;fiscal;;;;;;;;;;;-;;
(27) 93121-7089;financeiro;dr._thales_leão@gmail.com;46359;Dr. Thales Leão;0000-00-00;;;sao paulo;financeiro;;;;;;;;;;;-;;
(11) 94657-4464;devops specialist;miguel_camargo@gmail.com;46360;Miguel Camargo;0000-00-00;;;sao paulo;devops specialist;;;;;;;;;;;-;;
(11) 99695-3261;financeiro;mateus_cavalcante@hotmail.com;46361;Mateus Cavalcante;0000-00-00;;;sao paulo;financeiro;;;;;;;;;;;-;;
(41) 92962-3552;analista de sustentabilidade;joana_casa_grande@hotmail.com;46362;Joana Casa Grande;0000-00-00;;;sao paulo;analista de sustentabilidade;;;;;;;;;;;-;;
(12) 93069-5406;estagiario de ti;ana_laura_pinto@gmail.com;46363;Ana Laura Pinto;14-08-1996;Masculino;nao;sao paulo;estagiario de ti;infraestrutura processos negocios seguranca informacao sistemas ferramentas suporte;;;;;;;ensino superior cursando;intermediario;nenhum;-;ciencia da computacao;infraestrutura processos negocios seguranca informacao sistemas ferramentas suporte
(13) 92668-9555;basis;antônio_costela@gmail.com;46364;Antônio Costela;0000-00-00;;;sao paulo;basis;;;;;;;;;;;-;;
(11) 97905-6492;analista;davi_lucca_da_conceição@hotmail.com;46365;Davi Lucca da Conceição;23-03-1986;Masculino;nao;sao paulo;analista;sap;;;;;;;ensino superior completo;basico;basico;-;sistemas de informacao;sap
(19) 92904-9080;gerente de projetos sap;dr._vitor_hugo_pires@gmail.com;46366;Dr. Vitor Hugo Pires;0000-00-00;;;sao paulo;gerente de projetos sap;;;;;;;;;;;-;;
(11) 93032-3115;financeiro;vitor_hugo_da_cruz@gmail.com;46367;Vitor Hugo da Cruz;0000-00-00;;;sao paulo;financeiro;;;;;;;;;;;-;;
(11) 91556-3454;financeiro;mariana_campos@gmail.com;46368;Mariana Campos;0000-00-00;;;sao paulo;financeiro;;;;;;;;;;;-;;
(11) 98342-4573;financeiro;eduarda_borges@hotmail.com;46369;Eduarda Borges;0000-00-00;;;sao paulo;financeiro;;;;;;;;;;;-;;
(11) 99560-7835;consultor sap hcm;raquel_vieira@hotmail.com;46370;Raquel Vieira;0000-00-00;;;sao paulo;consultor sap hcm;;;;;;;;;;;-;;
(11) 93076-8258;consultor sap hcm;bárbara_brito@hotmail.com;46371;Bárbara Brito;08-09-1970;Masculino;;sao paulo;consultor sap hcm;sap;;;;;;;ensino superior completo;intermediario;nenhum;-;gestao de recursos humanos;sap
(11) 92279-8737;gerente de projetos sap;vitor_melo@gmail.com;46372;Vitor Melo;0000-00-00;;;sao paulo;gerente de projetos sap;;;;;;;;;;;-;;
(19) 96895-4493;sap basis;benjamim_fogaça@gmail.com;46373;Benjamim Fogaça;09-08-1989;Masculino;nao;sao paulo;sap basis;sap;;;;;;;ensino superior completo;avancado;basico;-;engenharia da computacao;sap
(11) 95201-7252;financeiro;ísis_da_mota@gmail.com;46374;Ísis da Mota;0000-00-00;;;sao paulo;financeiro;;;;;;;;;;;-;;
(11) 95478-3634;programador angular;luiz_felipe_moreira@hotmail.com;46375;Luiz Felipe Moreira;0000-00-00;;;sao paulo;programador angular;;;;;;;;;;;-;;
(41) 99069-6897;desenvolvedor frontend angular;eduardo_lopes@hotmail.com;46376;Eduardo Lopes;23-01-1997;Masculino;nao;parana;desenvolvedor frontend angular;desenvolvimento programacao;;;Scrum Fundamentals Certified (SFC) da SCRUMstudy - Accreditation Body for Scrum and Agile Sistema de Gestão da Qualidade ISO 9001 da Stefanini Group;;;;ensino superior cursando;fluente;intermediario;-;analise de sistemas tecnologia da informacao;desenvolvimento programacao
(22) 94879-3718;consultor tecnico comercial;yago_da_rocha@hotmail.com;46377;Yago da Rocha;27-01-1973;Masculino;nao;rio de janeiro;consultor tecnico comercial;novos negocios parcerias;;;;;;;ensino tecnico completo;basico;fluente;Português - Fluente;;novos negocios parcerias
(11) 96571-5556;dynamics;manuella_porto@hotmail.com;46378;Manuella Porto;0000-00-00;;;sao paulo;dynamics;;;;;;;;;;;-;;
